N,RunID,GFLOPS
128,155,74.860366
128,156,80.698101
128,157,75.828388
128,158,66.136038
128,159,79.244081
128,160,71.804841
128,161,80.329617
128,162,79.244081
128,163,81.445306
128,164,81.824121
128,165,82.206477
128,166,78.536545
128,167,79.602652
128,168,77.158711
128,169,82.592423
128,170,78.888727
128,171,82.592423
128,172,77.841531
128,173,79.602652
128,174,81.824121
128,175,81.824121
128,176,82.592423
128,177,69.260575
128,178,81.069982
128,179,80.329617
128,180,82.206477
128,181,80.698101
128,182,72.099123
128,183,77.498617
128,184,73.607473
128,185,82.206477
128,186,60.041591
128,187,67.923498
128,188,72.099123
128,189,77.841531
128,190,76.487765
128,191,82.592423
128,192,82.592423
128,193,70.088391
128,194,82.206477
128,195,70.088391
128,196,82.592423
128,197,82.206477
128,198,82.206477
128,199,79.244081
128,200,82.592423
128,201,82.592423
128,202,81.445306
128,203,72.694984
128,204,77.158711
128,205,72.996623
128,206,80.329617
128,207,79.244081
128,208,76.821773
128,209,80.698101
128,210,66.136038
128,211,81.824121
128,212,77.498617
128,213,72.996623
128,214,82.206477
128,215,77.498617
128,216,74.228633
128,217,79.244081
128,218,81.824121
128,219,63.281245
128,220,60.662710
128,221,68.719477
128,222,60.662710
128,223,59.232950
128,224,70.368744
128,225,62.605644
128,226,61.944317
128,227,71.512951
128,228,74.543161
128,229,68.186768
128,230,79.964482
128,231,81.445306
128,232,79.964482
128,233,82.206477
128,234,65.642485
128,235,70.368744
128,236,66.136038
128,237,67.662254
128,238,81.069982
128,239,68.452086
128,240,77.158711
128,241,67.662254
128,242,111.342950
128,243,81.445306
128,244,81.824121
128,245,81.445306
128,246,78.536545
128,247,82.982010
128,248,78.536545
128,249,76.821773
128,250,78.187494
256,1,142.015629
256,2,167.146661
256,3,166.948385
256,4,154.148399
256,5,166.356369
256,6,165.964019
256,7,163.079361
256,8,150.844039
256,9,154.148399
256,10,161.026875
256,11,167.345408
256,12,159.385604
256,13,165.964019
256,14,165.768538
256,15,166.356369
256,16,166.948385
256,17,164.221107
256,18,165.378952
256,19,166.356369
256,20,166.948385
256,21,75.059994
256,22,106.862178
256,23,96.132164
256,24,149.561624
256,25,166.553241
256,26,154.148399
256,27,160.476041
256,28,168.749986
256,29,165.378952
256,30,144.346142
256,31,163.268548
256,32,164.412954
256,33,165.768538
256,34,160.842844
256,35,164.605250
256,36,166.356369
256,37,166.159963
256,38,158.132009
256,39,160.842844
256,40,166.948385
256,41,165.964019
256,42,160.476041
256,43,166.948385
256,44,159.566313
256,45,158.666841
256,46,158.845924
