N,RunID,GFLOPS
256,82,114.142326
256,83,123.779673
256,84,135.064768
256,85,159.928964
256,86,166.159963
256,87,166.553241
256,88,166.356369
256,89,166.750579
256,90,164.605250
256,91,165.184845
256,92,162.702299
256,93,162.702299
256,94,166.948385
256,95,166.948385
256,96,164.412954
256,97,164.221107
256,98,166.948385
256,99,165.378952
256,100,160.659233
256,101,164.412954
256,102,164.605250
256,103,166.356369
256,104,143.463291
256,105,165.768538
256,106,165.184845
256,107,159.747433
256,108,166.356369
256,109,166.948385
256,110,164.797996
256,111,159.747433
256,112,164.221107
256,113,163.079361
256,114,159.747433
256,115,107.762242
256,116,106.538598
256,117,107.927522
256,118,106.700143
256,119,107.187729
256,120,105.738158
256,121,104.559798
256,122,105.817660
256,123,102.429031
256,124,105.263641
256,125,104.793364
256,126,105.500366
256,127,105.421340
256,128,101.983687
256,129,106.943380
256,130,106.216972
256,131,107.844819
256,132,102.878281
256,133,106.943380
256,134,92.166004
256,135,108.845699
256,136,87.360328
256,137,157.424484
256,138,159.385604
256,139,166.750579
256,140,165.378952
256,141,167.146661
256,142,134.163478
256,143,157.777453
256,144,164.412954
256,145,166.356369
256,146,135.846996
256,147,166.750579
256,148,145.239926
256,149,165.184845
256,150,164.605250
256,151,165.964019
256,152,166.553241
256,153,165.573516
256,154,159.205304
256,155,166.553241
256,156,164.412954
256,157,165.964019
256,158,163.079361
256,159,161.396202
256,160,164.029707
256,161,157.777453
256,162,165.378952
256,163,167.146661
256,164,108.426416
256,165,140.737488
256,166,165.964019
256,167,164.412954
256,168,166.356369
256,169,159.385604
256,170,164.412954
256,171,166.553241
256,172,138.249006
256,173,157.777453
256,174,167.544629
256,175,160.110908
256,176,166.356369
256,177,160.110908
256,178,166.750579
256,179,129.951513
256,180,166.750579
256,181,160.476041
256,182,165.964019
256,183,166.553241
256,184,164.605250
256,185,166.356369
